party,source,type,screen_name
Christian Democratic Union,Facebook,Party account,https://www.facebook.com/CDU/
Christian Democratic Union,Twitter,Party account,CDU
Christian Democratic Union,Facebook,Leader,https://www.facebook.com/AngelaMerkel/
Christian Democratic Union,Twitter,Leader,NA
Socialist Democratic Party,Twitter,Party account,spdde
Socialist Democratic Party,Facebook,Party account,https://www.facebook.com/SPD/
Socialist Democratic Party,Facebook,Leader,https://www.facebook.com/martinschulz/
Socialist Democratic Party,Twitter,Leader,MartinSchulz
The Left,Facebook,Party account,https://www.facebook.com/linkspartei/
The Left,Twitter,Party account,dieLinke
The Left,Facebook,Leader,https://www.facebook.com/KatjaKipping
The Left,Twitter,Leader,katjakipping
Alliance 90/ The Greens,Facebook,Party account,https://www.facebook.com/B90DieGruenen/
Alliance 90/ The Greens,Twitter,Party account,Die_Gruenen
Alliance 90/ The Greens,Facebook,Leader,https://www.facebook.com/Simone.Peter.Gruene/
Alliance 90/ The Greens,Twitter,Leader,peter_simone
Alliance 90/ The Greens,Facebook,Leader,https://www.facebook.com/Cem/
Christian Social Union in Bavaria,Facebook,Party account,https://www.facebook.com/CSU/
Christian Social Union in Bavaria,Twitter,Party account,CSU
Christian Social Union in Bavaria,Facebook,Leader,https://www.facebook.com/HorstSeehofer/
Christian Social Union in Bavaria,Twitter,Leader,realHSeehofer
Free Democratic Party,Facebook,Party account,https://www.facebook.com/FDP/
Free Democratic Party,Twitter,Party account,fdp
Free Democratic Party,Twitter,Leader,c_lindner
Alternative for Deutschland,Facebook,Party account,https://www.facebook.com/alternativefuerde/
Alternative for Deutschland,Twitter,Party account,AfD_Bund
Alternative for Deutschland,Facebook,Leader,https://www.facebook.com/Dr.Frauke.Petry/
Alternative for Deutschland,Twitter,Leader,FraukePetry
Pirate Party,Twitter,Party account,Piratenpartei
Pirate Party,Twitter,Leader,pschiffer
National Democratic Party,Facebook,Party account,https://www.facebook.com/npd.de/
National Democratic Party,Twitter,Party account,npdde
National Democratic Party,Facebook,Leader,https://www.facebook.com/ff.frankfranz/
National Democratic Party,Twitter,Leader,FrankFranz
