file,total,afd,cdu,spd,csu,fdp,linke,gruene,grüne,wahlkampf,merkel,flüchtlinge,refugees,asyl,btw17,btw2017,schulz,schulztrain,schulzzug,stmartin
"~/tweets/germany_2017_07_19_01_00_01.json","4600","142","35","71","64","2181","27","5","20","10","388","16","1084","77","20","2","70","0","0","2"
"~/tweets/germany_2017_07_19_02_00_02.json","5184","146","44","83","67","2416","24","11","10","8","467","15","1044","29","8","1","73","0","1","0"
"~/tweets/germany_2017_07_19_03_00_02.json","5119","199","58","108","83","2038","24","8","18","15","514","24","925","34","33","2","76","0","0","1"
"~/tweets/germany_2017_07_19_04_00_01.json","4307","332","103","117","79","1272","52","13","33","21","588","53","813","65","46","13","130","0","2","0"
"~/tweets/germany_2017_07_19_05_00_02.json","4933","426","234","285","140","939","103","21","50","41","840","72","1063","91","112","11","226","0","3","1"
"~/tweets/germany_2017_07_19_06_00_01.json","5557","615","335","340","159","691","172","37","85","67","1081","81","1042","108","127","16","229","0","1","0"
"~/tweets/germany_2017_07_19_07_00_01.json","5880","623","330","354","153","527","187","36","49","51","1328","100","1105","84","129","32","254","0","1","1"
"~/tweets/germany_2017_07_19_08_00_02.json","6637","661","307","525","151","606","189","64","114","51","1254","97","1460","184","150","30","376","0","1","0"
"~/tweets/germany_2017_07_19_09_00_02.json","6816","768","323","669","154","678","208","34","105","42","1096","75","1270","127","165","27","546","0","4","0"
"~/tweets/germany_2017_07_19_10_00_01.json","6570","709","290","410","196","942","216","51","104","50","1162","99","1332","83","107","16","221","0","7","0"
"~/tweets/germany_2017_07_19_11_00_01.json","6961","727","277","316","118","950","211","32","87","61","1461","95","1456","115","122","19","154","0","0","0"
"~/tweets/germany_2017_07_19_12_00_02.json","7212","563","273","331","149","1129","185","50","107","61","1330","93","1884","97","108","15","193","0","0","1"
"~/tweets/germany_2017_07_19_13_00_01.json","7294","672","189","346","132","1393","173","49","149","69","1241","78","1654","104","162","14","155","0","0","0"
"~/tweets/germany_2017_07_19_14_00_01.json","7087","668","229","324","121","1377","185","47","119","107","1272","134","1485","79","162","32","176","0","1","1"
"~/tweets/germany_2017_07_19_15_00_01.json","8013","672","259","403","78","1567","253","61","98","103","1796","151","1467","86","171","18","197","0","1","3"
"~/tweets/germany_2017_07_19_16_00_02.json","7991","773","295","501","299","1782","282","88","126","114","1221","151","1430","76","117","25","315","0","5","1"
"~/tweets/germany_2017_07_19_17_00_00.json","10049","818","285","374","231","1762","477","54","127","82","1381","112","3096","63","141","21","278","0","3","1"
"~/tweets/germany_2017_07_19_18_00_00.json","9279","719","295","406","207","1679","333","46","137","86","1233","169","2633","84","127","24","257","0","5","0"
"~/tweets/germany_2017_07_19_19_00_02.json","8540","726","325","384","191","1817","212","45","98","90","1213","219","1846","64","118","17","274","0","3","1"
"~/tweets/germany_2017_07_19_20_00_01.json","9742","941","381","363","207","1995","332","45","118","159","1202","214","2244","63","114","23","214","0","0","0"
"~/tweets/germany_2017_07_19_21_00_03.json","8285","585","210","233","123","2306","278","29","94","75","1049","118","1967","63","68","12","150","0","0","6"
"~/tweets/germany_2017_07_19_22_00_01.json","8306","370","150","175","135","3031","158","24","75","56","1281","83","1657","45","27","16","117","0","2","11"
"~/tweets/germany_2017_07_19_23_00_02.json","6194","277","53","120","97","2506","139","21","26","30","729","46","1369","54","18","7","74","0","2","1"
"~/tweets/germany_2017_07_20_00_00_03.json","6501","188","31","62","126","3536","61","9","16","19","626","19","1168","28","18","4","64","0","0","1"
"~/tweets/germany_2017_07_20_01_00_02.json","11181","161","42","69","72","8509","34","9","15","11","468","17","1167","27","8","3","80","0","0","1"
"~/tweets/germany_2017_07_20_02_00_00.json","11023","106","42","79","59","8416","13","8","5","11","612","10","919","14","8","2","67","0","1","1"
